X,CH1,
Second,Volt,
-3.99720e-02,3.76e+01,
-3.97720e-02,2.24e+01,
-3.95720e-02,2.16e+01,
-3.93720e-02,4.40e+01,
-3.91720e-02,2.56e+01,
-3.89720e-02,4.40e+01,
-3.87720e-02,3.76e+01,
-3.85720e-02,1.84e+01,
-3.83720e-02,3.76e+01,
-3.81720e-02,2.40e+01,
-3.79720e-02,2.40e+01,
-3.77720e-02,3.76e+01,
-3.75720e-02,2.40e+01,
-3.73720e-02,3.68e+01,
-3.71720e-02,2.16e+01,
-3.69720e-02,3.84e+01,
-3.67720e-02,2.48e+01,
-3.65720e-02,1.04e+01,
-3.63720e-02,5.60e+00,
-3.61720e-02,2.56e+01,
-3.59720e-02,1.20e+01,
-3.57720e-02,2.48e+01,
-3.55720e-02,-2.40e+00,
-3.53720e-02,1.44e+01,
-3.51720e-02,0.00e+00,
-3.49720e-02,1.28e+01,
-3.47720e-02,0.00e+00,
-3.45720e-02,1.04e+01,
-3.43720e-02,3.20e+00,
-3.41720e-02,-1.12e+01,
-3.39720e-02,-1.20e+01,
-3.37720e-02,2.40e+00,
-3.35720e-02,6.40e+00,
-3.33720e-02,-2.48e+01,
-3.31720e-02,-9.60e+00,
-3.29720e-02,-2.56e+01,
-3.27720e-02,-2.40e+01,
-3.25720e-02,-7.20e+00,
-3.23720e-02,-1.12e+01,
-3.21720e-02,-3.52e+01,
-3.19720e-02,-2.40e+01,
-3.17720e-02,-3.92e+01,
-3.15720e-02,-2.32e+01,
-3.13720e-02,-4.48e+01,
-3.11720e-02,-3.76e+01,
-3.09720e-02,-2.24e+01,
-3.07720e-02,-4.72e+01,
-3.05720e-02,-2.32e+01,
-3.03720e-02,-2.00e+01,
-3.01720e-02,-3.68e+01,
-2.99720e-02,-2.72e+01,
-2.97720e-02,-3.60e+01,
-2.95720e-02,-3.68e+01,
-2.93720e-02,-2.24e+01,
-2.91720e-02,-2.16e+01,
-2.89720e-02,-4.48e+01,
-2.87720e-02,-2.24e+01,
-2.85720e-02,-3.68e+01,
-2.83720e-02,-2.24e+01,
-2.81720e-02,-3.60e+01,
-2.79720e-02,-3.76e+01,
-2.77720e-02,-2.40e+01,
-2.75720e-02,-2.24e+01,
-2.73720e-02,-3.68e+01,
-2.71720e-02,-3.52e+01,
-2.69720e-02,-2.16e+01,
-2.67720e-02,-1.12e+01,
-2.65720e-02,-2.56e+01,
-2.63720e-02,-6.40e+00,
-2.61720e-02,-2.80e+01,
-2.59720e-02,-2.48e+01,
-2.57720e-02,-1.04e+01,
-2.55720e-02,-1.28e+01,
-2.53720e-02,8.00e-01,
-2.51720e-02,-1.28e+01,
-2.49720e-02,8.00e-01,
-2.47720e-02,-1.12e+01,
-2.45720e-02,1.60e+00,
-2.43720e-02,0.00e+00,
-2.41720e-02,1.28e+01,
-2.39720e-02,0.00e+00,
-2.37720e-02,1.52e+01,
-2.35720e-02,0.00e+00,
-2.33720e-02,1.28e+01,
-2.31720e-02,1.20e+01,
-2.29720e-02,2.48e+01,
-2.27720e-02,1.20e+01,
-2.25720e-02,2.48e+01,
-2.23720e-02,2.48e+01,
-2.21720e-02,8.80e+00,
-2.19720e-02,2.32e+01,
-2.17720e-02,3.20e+01,
-2.15720e-02,2.32e+01,
-2.13720e-02,3.84e+01,
-2.11720e-02,2.48e+01,
-2.09720e-02,3.84e+01,
-2.07720e-02,2.40e+01,
-2.05720e-02,3.76e+01,
-2.03720e-02,2.24e+01,
-2.01720e-02,3.76e+01,
-1.99720e-02,3.76e+01,
-1.97720e-02,2.32e+01,
-1.95720e-02,3.52e+01,
-1.93720e-02,3.84e+01,
-1.91720e-02,2.32e+01,
-1.89720e-02,3.92e+01,
-1.87720e-02,2.16e+01,
-1.85720e-02,3.76e+01,
-1.83720e-02,1.84e+01,
-1.81720e-02,3.84e+01,
-1.79720e-02,2.32e+01,
-1.77720e-02,3.68e+01,
-1.75720e-02,3.76e+01,
-1.73720e-02,2.40e+01,
-1.71720e-02,3.92e+01,
-1.69720e-02,2.32e+01,
-1.67720e-02,1.20e+01,
-1.65720e-02,2.48e+01,
-1.63720e-02,1.04e+01,
-1.61720e-02,2.88e+01,
-1.59720e-02,2.48e+01,
-1.57720e-02,1.20e+01,
-1.55720e-02,1.20e+01,
-1.53720e-02,2.16e+01,
-1.51720e-02,0.00e+00,
-1.49720e-02,1.28e+01,
-1.47720e-02,0.00e+00,
-1.45720e-02,1.28e+01,
-1.43720e-02,-6.40e+00,
-1.41720e-02,8.00e-01,
-1.39720e-02,8.00e-01,
-1.37720e-02,-1.20e+01,
-1.35720e-02,0.00e+00,
-1.33720e-02,-1.28e+01,
-1.31720e-02,-7.20e+00,
-1.29720e-02,-2.48e+01,
-1.27720e-02,-2.40e+01,
-1.25720e-02,-1.04e+01,
-1.23720e-02,-8.00e+00,
-1.21720e-02,-3.12e+01,
-1.19720e-02,-1.76e+01,
-1.17720e-02,-3.52e+01,
-1.15720e-02,-1.92e+01,
-1.13720e-02,-3.68e+01,
-1.11720e-02,-2.32e+01,
-1.09720e-02,-4.16e+01,
-1.07720e-02,-3.68e+01,
-1.05720e-02,-2.08e+01,
-1.03720e-02,-2.16e+01,
-1.01720e-02,-4.08e+01,
-9.97200e-03,-3.68e+01,
-9.77200e-03,-2.08e+01,
-9.57200e-03,-3.68e+01,
-9.37200e-03,-2.16e+01,
-9.17200e-03,-2.16e+01,
-8.97200e-03,-3.68e+01,
-8.77200e-03,-3.84e+01,
-8.57200e-03,-1.92e+01,
-8.37200e-03,-2.24e+01,
-8.17200e-03,-4.16e+01,
-7.97200e-03,-2.24e+01,
-7.77200e-03,-3.76e+01,
-7.57200e-03,-3.60e+01,
-7.37200e-03,-2.24e+01,
-7.17200e-03,-2.24e+01,
-6.97200e-03,-3.60e+01,
-6.77200e-03,-1.92e+01,
-6.57200e-03,-2.56e+01,
-6.37200e-03,-2.40e+01,
-6.17200e-03,-5.60e+00,
-5.97200e-03,-2.40e+01,
-5.77200e-03,-9.60e+00,
-5.57200e-03,-2.24e+01,
-5.37200e-03,8.00e-01,
-5.17200e-03,8.00e-01,
-4.97200e-03,-1.20e+01,
-4.77200e-03,8.00e-01,
-4.57200e-03,-1.12e+01,
-4.37200e-03,0.00e+00,
-4.17200e-03,1.28e+01,
-3.97200e-03,0.00e+00,
-3.77200e-03,1.28e+01,
-3.57200e-03,0.00e+00,
-3.37200e-03,1.52e+01,
-3.17200e-03,1.20e+01,
-2.97200e-03,2.48e+01,
-2.77200e-03,2.64e+01,
-2.57200e-03,1.12e+01,
-2.37200e-03,1.04e+01,
-2.17200e-03,3.36e+01,
-1.97200e-03,2.32e+01,
-1.77200e-03,2.56e+01,
-1.57200e-03,3.76e+01,
-1.37200e-03,1.76e+01,
-1.17200e-03,2.40e+01,
-9.72002e-04,3.68e+01,
-7.72001e-04,2.32e+01,
-5.72001e-04,3.76e+01,
-3.72001e-04,2.48e+01,
-1.72001e-04,3.92e+01,
2.79982e-05,2.48e+01,
2.27998e-04,3.92e+01,
4.27998e-04,3.68e+01,
6.27999e-04,2.48e+01,
8.27999e-04,3.76e+01,
1.02800e-03,2.32e+01,
1.22800e-03,3.76e+01,
1.42800e-03,2.56e+01,
1.62800e-03,3.76e+01,
1.82800e-03,2.08e+01,
2.02800e-03,2.24e+01,
2.22800e-03,3.76e+01,
2.42800e-03,3.76e+01,
2.62800e-03,2.40e+01,
2.82800e-03,2.40e+01,
3.02800e-03,3.76e+01,
3.22800e-03,1.04e+01,
3.42800e-03,2.56e+01,
3.62800e-03,2.48e+01,
3.82800e-03,1.20e+01,
4.02800e-03,1.12e+01,
4.22800e-03,2.80e+01,
4.42800e-03,2.72e+01,
4.62800e-03,0.00e+00,
4.82800e-03,1.20e+01,
5.02800e-03,0.00e+00,
5.22800e-03,0.00e+00,
5.42800e-03,2.24e+01,
5.62800e-03,0.00e+00,
5.82800e-03,8.00e-01,
6.02800e-03,0.00e+00,
6.22800e-03,-1.68e+01,
6.42800e-03,2.40e+00,
6.62800e-03,-1.20e+01,
6.82800e-03,-9.60e+00,
7.02800e-03,-2.56e+01,
7.22800e-03,-1.12e+01,
7.42800e-03,-3.28e+01,
7.62800e-03,-1.20e+01,
7.82800e-03,-2.56e+01,
8.02800e-03,-3.20e+01,
8.22800e-03,-2.32e+01,
8.42800e-03,-3.76e+01,
8.62800e-03,-1.92e+01,
8.82800e-03,-3.68e+01,
9.02800e-03,-2.16e+01,
9.22800e-03,-2.16e+01,
9.42800e-03,-5.04e+01,
9.62800e-03,-2.24e+01,
9.82800e-03,-3.84e+01,
1.00280e-02,-3.68e+01,
1.02280e-02,-1.76e+01,
1.04280e-02,-3.68e+01,
1.06280e-02,-2.48e+01,
1.08280e-02,-3.60e+01,
1.10280e-02,-2.24e+01,
1.12280e-02,-2.16e+01,
1.14280e-02,-4.08e+01,
1.16280e-02,-3.60e+01,
1.18280e-02,-2.32e+01,
1.20280e-02,-1.92e+01,
1.22280e-02,-3.68e+01,
1.24280e-02,-4.00e+01,
1.26280e-02,-2.24e+01,
1.28280e-02,-2.32e+01,
1.30280e-02,-4.64e+01,
1.32280e-02,-2.40e+01,
1.34280e-02,-1.28e+01,
1.36280e-02,-9.60e+00,
1.38280e-02,-2.40e+01,
1.40280e-02,-2.40e+01,
1.42280e-02,-9.60e+00,
1.44280e-02,-1.12e+01,
1.46280e-02,-8.00e+00,
1.48280e-02,-1.20e+01,
1.50280e-02,8.00e-01,
1.52280e-02,8.00e-01,
1.54280e-02,-1.20e+01,
1.56280e-02,-1.20e+01,
1.58280e-02,8.00e-01,
1.60280e-02,0.00e+00,
1.62280e-02,1.60e+01,
1.64280e-02,0.00e+00,
1.66280e-02,2.64e+01,
1.68280e-02,-1.60e+00,
1.70280e-02,2.80e+01,
1.72280e-02,2.88e+01,
1.74280e-02,1.12e+01,
1.76280e-02,2.56e+01,
1.78280e-02,6.40e+00,
1.80280e-02,2.64e+01,
1.82280e-02,2.32e+01,
1.84280e-02,3.76e+01,
1.86280e-02,2.24e+01,
1.88280e-02,2.16e+01,
1.90280e-02,3.92e+01,
1.92280e-02,2.40e+01,
1.94280e-02,3.84e+01,
1.96280e-02,3.76e+01,
1.98280e-02,2.32e+01,
2.00280e-02,2.48e+01,
2.02280e-02,3.76e+01,
2.04280e-02,3.92e+01,
2.06280e-02,2.64e+01,
2.08280e-02,2.48e+01,
2.10280e-02,4.08e+01,
2.12280e-02,3.68e+01,
2.14280e-02,1.92e+01,
2.16280e-02,2.16e+01,
2.18280e-02,3.76e+01,
2.20280e-02,3.76e+01,
2.22280e-02,2.32e+01,
2.24280e-02,2.24e+01,
2.26280e-02,3.76e+01,
2.28280e-02,4.00e+01,
2.30280e-02,2.40e+01,
2.32280e-02,2.48e+01,
2.34280e-02,1.20e+01,
2.36280e-02,2.48e+01,
2.38280e-02,1.20e+01,
2.40280e-02,1.20e+01,
2.42280e-02,2.64e+01,
2.44280e-02,2.16e+01,
2.46280e-02,-4.80e+00,
2.48280e-02,1.36e+01,
2.50280e-02,0.00e+00,
2.52280e-02,1.28e+01,
2.54280e-02,-1.60e+00,
2.56280e-02,7.20e+00,
2.58280e-02,-1.36e+01,
2.60280e-02,8.00e-01,
2.62280e-02,-1.36e+01,
2.64280e-02,8.00e-01,
2.66280e-02,-1.60e+01,
2.68280e-02,-1.12e+01,
2.70280e-02,-9.60e+00,
2.72280e-02,-1.12e+01,
2.74280e-02,-2.56e+01,
2.76280e-02,-9.60e+00,
2.78280e-02,-2.48e+01,
2.80280e-02,-2.48e+01,
2.82280e-02,-1.76e+01,
2.84280e-02,-2.24e+01,
2.86280e-02,-3.60e+01,
2.88280e-02,-3.76e+01,
2.90280e-02,-2.24e+01,
2.92280e-02,-4.24e+01,
2.94280e-02,-2.32e+01,
2.96280e-02,-2.24e+01,
2.98280e-02,-3.84e+01,
3.00280e-02,-2.16e+01,
3.02280e-02,-3.68e+01,
3.04280e-02,-2.32e+01,
3.06280e-02,-3.68e+01,
3.08280e-02,-1.76e+01,
3.10280e-02,-4.80e+01,
3.12280e-02,-3.60e+01,
3.14280e-02,-1.84e+01,
3.16280e-02,-2.24e+01,
3.18280e-02,-3.68e+01,
3.20280e-02,-2.40e+01,
3.22280e-02,-3.60e+01,
3.24280e-02,-2.24e+01,
3.26280e-02,-3.60e+01,
3.28280e-02,-2.24e+01,
3.30280e-02,-3.68e+01,
3.32280e-02,-2.40e+01,
3.34280e-02,-1.12e+01,
3.36280e-02,-2.48e+01,
3.38280e-02,-6.40e+00,
3.40280e-02,-2.40e+01,
3.42280e-02,-1.12e+01,
3.44280e-02,-1.12e+01,
3.46280e-02,-8.00e-01,
3.48280e-02,8.00e-01,
3.50280e-02,-1.36e+01,
3.52280e-02,-1.20e+01,
3.54280e-02,8.00e-01,
3.56280e-02,0.00e+00,
3.58280e-02,4.00e+00,
