X,CH1,
Second,Volt,
-2.76930e-02,-2.08e+01,
-2.74930e-02,-2.40e+01,
-2.72930e-02,-2.40e+01,
-2.70930e-02,-2.72e+01,
-2.68930e-02,-2.72e+01,
-2.66930e-02,-2.96e+01,
-2.64930e-02,-2.96e+01,
-2.62930e-02,-3.20e+01,
-2.60930e-02,-3.12e+01,
-2.58930e-02,-3.36e+01,
-2.56930e-02,-3.20e+01,
-2.54930e-02,-3.44e+01,
-2.52930e-02,-3.36e+01,
-2.50930e-02,-3.52e+01,
-2.48930e-02,-3.44e+01,
-2.46930e-02,-3.44e+01,
-2.44930e-02,-3.44e+01,
-2.42930e-02,-3.36e+01,
-2.40930e-02,-3.36e+01,
-2.38930e-02,-3.20e+01,
-2.36930e-02,-3.20e+01,
-2.34930e-02,-3.04e+01,
-2.32930e-02,-3.12e+01,
-2.30930e-02,-2.88e+01,
-2.28930e-02,-2.88e+01,
-2.26930e-02,-2.56e+01,
-2.24930e-02,-2.56e+01,
-2.22930e-02,-2.24e+01,
-2.20930e-02,-2.24e+01,
-2.18930e-02,-1.92e+01,
-2.16930e-02,-1.92e+01,
-2.14930e-02,-1.44e+01,
-2.12930e-02,-1.52e+01,
-2.10930e-02,-1.12e+01,
-2.08930e-02,-1.12e+01,
-2.06930e-02,-7.20e+00,
-2.04930e-02,-6.40e+00,
-2.02930e-02,-2.40e+00,
-2.00930e-02,-2.40e+00,
-1.98930e-02,8.00e-01,
-1.96930e-02,8.00e-01,
-1.94930e-02,5.60e+00,
-1.92930e-02,5.60e+00,
-1.90930e-02,9.60e+00,
-1.88930e-02,1.04e+01,
-1.86930e-02,1.36e+01,
-1.84930e-02,1.36e+01,
-1.82930e-02,2.00e+01,
-1.80930e-02,1.76e+01,
-1.78930e-02,2.08e+01,
-1.76930e-02,2.16e+01,
-1.74930e-02,2.48e+01,
-1.72930e-02,2.48e+01,
-1.70930e-02,2.88e+01,
-1.68930e-02,2.80e+01,
-1.66930e-02,2.96e+01,
-1.64930e-02,3.04e+01,
-1.62930e-02,3.44e+01,
-1.60930e-02,3.12e+01,
-1.58930e-02,3.36e+01,
-1.56930e-02,3.28e+01,
-1.54930e-02,3.44e+01,
-1.52930e-02,3.44e+01,
-1.50930e-02,3.52e+01,
-1.48930e-02,3.60e+01,
-1.46930e-02,3.44e+01,
-1.44930e-02,3.44e+01,
-1.42930e-02,3.28e+01,
-1.40930e-02,3.44e+01,
-1.38930e-02,3.28e+01,
-1.36930e-02,3.28e+01,
-1.34930e-02,3.04e+01,
-1.32930e-02,3.20e+01,
-1.30930e-02,2.88e+01,
-1.28930e-02,2.88e+01,
-1.26930e-02,2.64e+01,
-1.24930e-02,2.64e+01,
-1.22930e-02,2.32e+01,
-1.20930e-02,2.32e+01,
-1.18930e-02,2.00e+01,
-1.16930e-02,2.00e+01,
-1.14930e-02,1.60e+01,
-1.12930e-02,1.68e+01,
-1.10930e-02,1.20e+01,
-1.08930e-02,1.20e+01,
-1.06930e-02,8.00e+00,
-1.04930e-02,8.00e+00,
-1.02930e-02,3.20e+00,
-1.00930e-02,2.40e+00,
-9.89300e-03,0.00e+00,
-9.69300e-03,0.00e+00,
-9.49300e-03,-4.80e+00,
-9.29300e-03,-4.80e+00,
-9.09300e-03,-1.12e+01,
-8.89300e-03,-9.60e+00,
-8.69300e-03,-1.28e+01,
-8.49300e-03,-1.28e+01,
-8.29300e-03,-1.60e+01,
-8.09300e-03,-1.76e+01,
-7.89300e-03,-2.08e+01,
-7.69300e-03,-1.76e+01,
-7.49300e-03,-2.40e+01,
-7.29300e-03,-2.40e+01,
-7.09300e-03,-2.72e+01,
-6.89300e-03,-2.72e+01,
-6.69300e-03,-2.88e+01,
-6.49300e-03,-2.88e+01,
-6.29300e-03,-3.12e+01,
-6.09300e-03,-3.20e+01,
-5.89300e-03,-3.20e+01,
-5.69300e-03,-3.28e+01,
-5.49300e-03,-3.36e+01,
-5.29300e-03,-3.36e+01,
-5.09300e-03,-3.76e+01,
-4.89300e-03,-3.36e+01,
-4.69300e-03,-3.52e+01,
-4.49300e-03,-3.52e+01,
-4.29300e-03,-3.28e+01,
-4.09300e-03,-3.36e+01,
-3.89300e-03,-3.20e+01,
-3.69300e-03,-3.20e+01,
-3.49300e-03,-2.96e+01,
-3.29300e-03,-3.12e+01,
-3.09300e-03,-2.88e+01,
-2.89300e-03,-2.80e+01,
-2.69300e-03,-2.56e+01,
-2.49300e-03,-2.56e+01,
-2.29300e-03,-2.24e+01,
-2.09300e-03,-2.40e+01,
-1.89300e-03,-1.92e+01,
-1.69300e-03,-1.92e+01,
-1.49300e-03,-1.60e+01,
-1.29300e-03,-1.76e+01,
-1.09300e-03,-1.12e+01,
-8.93000e-04,-1.12e+01,
-6.93000e-04,-8.00e+00,
-4.93000e-04,-6.40e+00,
-2.93000e-04,-3.20e+00,
-9.30003e-05,-2.40e+00,
1.06999e-04,0.00e+00,
3.07000e-04,8.00e-01,
5.07000e-04,4.80e+00,
7.07000e-04,4.00e+00,
9.06999e-04,8.80e+00,
1.10700e-03,8.80e+00,
1.30700e-03,1.36e+01,
1.50700e-03,1.36e+01,
1.70700e-03,1.68e+01,
