X,CH1,
Second,Volt,
-4.69720e-02,2.84e+02,
-4.67720e-02,2.84e+02,
-4.65720e-02,2.76e+02,
-4.63720e-02,2.84e+02,
-4.61720e-02,2.64e+02,
-4.59720e-02,2.68e+02,
-4.57720e-02,2.56e+02,
-4.55720e-02,2.64e+02,
-4.53720e-02,2.44e+02,
-4.51720e-02,2.44e+02,
-4.49720e-02,2.24e+02,
-4.47720e-02,2.32e+02,
-4.45720e-02,2.04e+02,
-4.43720e-02,2.00e+02,
-4.41720e-02,1.80e+02,
-4.39720e-02,1.76e+02,
-4.37720e-02,1.40e+02,
-4.35720e-02,1.40e+02,
-4.33720e-02,1.12e+02,
-4.31720e-02,1.04e+02,
-4.29720e-02,7.20e+01,
-4.27720e-02,7.20e+01,
-4.25720e-02,3.60e+01,
-4.23720e-02,3.20e+01,
-4.21720e-02,-4.00e+00,
-4.19720e-02,-4.00e+00,
-4.17720e-02,-4.00e+01,
-4.15720e-02,-4.40e+01,
-4.13720e-02,-6.40e+01,
-4.11720e-02,-6.80e+01,
-4.09720e-02,-9.60e+01,
-4.07720e-02,-9.20e+01,
-4.05720e-02,-1.28e+02,
-4.03720e-02,-1.28e+02,
-4.01720e-02,-1.52e+02,
-3.99720e-02,-1.52e+02,
-3.97720e-02,-1.76e+02,
-3.95720e-02,-1.84e+02,
-3.93720e-02,-1.96e+02,
-3.91720e-02,-2.00e+02,
-3.89720e-02,-2.24e+02,
-3.87720e-02,-2.24e+02,
-3.85720e-02,-2.44e+02,
-3.83720e-02,-2.44e+02,
-3.81720e-02,-2.60e+02,
-3.79720e-02,-2.60e+02,
-3.77720e-02,-2.72e+02,
-3.75720e-02,-2.72e+02,
-3.73720e-02,-2.80e+02,
-3.71720e-02,-2.84e+02,
-3.69720e-02,-2.80e+02,
-3.67720e-02,-2.80e+02,
-3.65720e-02,-2.88e+02,
-3.63720e-02,-2.80e+02,
-3.61720e-02,-2.76e+02,
-3.59720e-02,-2.72e+02,
-3.57720e-02,-2.60e+02,
-3.55720e-02,-2.64e+02,
-3.53720e-02,-2.52e+02,
-3.51720e-02,-2.44e+02,
-3.49720e-02,-2.24e+02,
-3.47720e-02,-2.24e+02,
-3.45720e-02,-2.04e+02,
-3.43720e-02,-2.04e+02,
-3.41720e-02,-1.72e+02,
-3.39720e-02,-1.72e+02,
-3.37720e-02,-1.36e+02,
-3.35720e-02,-1.32e+02,
-3.33720e-02,-1.00e+02,
-3.31720e-02,-1.04e+02,
-3.29720e-02,-6.80e+01,
-3.27720e-02,-6.40e+01,
-3.25720e-02,-3.20e+01,
-3.23720e-02,-2.40e+01,
-3.21720e-02,1.60e+01,
-3.19720e-02,1.20e+01,
-3.17720e-02,4.40e+01,
-3.15720e-02,4.80e+01,
-3.13720e-02,7.20e+01,
-3.11720e-02,7.20e+01,
-3.09720e-02,9.60e+01,
-3.07720e-02,1.04e+02,
-3.05720e-02,1.28e+02,
-3.03720e-02,1.32e+02,
-3.01720e-02,1.56e+02,
-2.99720e-02,1.52e+02,
-2.97720e-02,1.72e+02,
-2.95720e-02,1.80e+02,
-2.93720e-02,2.00e+02,
-2.91720e-02,2.00e+02,
-2.89720e-02,2.24e+02,
-2.87720e-02,2.24e+02,
-2.85720e-02,2.44e+02,
-2.83720e-02,2.36e+02,
-2.81720e-02,2.56e+02,
-2.79720e-02,2.56e+02,
-2.77720e-02,2.68e+02,
-2.75720e-02,2.68e+02,
-2.73720e-02,2.76e+02,
-2.71720e-02,2.76e+02,
-2.69720e-02,2.84e+02,
-2.67720e-02,2.84e+02,
-2.65720e-02,2.72e+02,
-2.63720e-02,2.84e+02,
-2.61720e-02,2.72e+02,
-2.59720e-02,2.72e+02,
-2.57720e-02,2.56e+02,
-2.55720e-02,2.60e+02,
-2.53720e-02,2.40e+02,
-2.51720e-02,2.48e+02,
-2.49720e-02,2.24e+02,
-2.47720e-02,2.24e+02,
-2.45720e-02,2.04e+02,
-2.43720e-02,2.08e+02,
-2.41720e-02,1.80e+02,
-2.39720e-02,1.80e+02,
-2.37720e-02,1.48e+02,
-2.35720e-02,1.44e+02,
-2.33720e-02,1.04e+02,
-2.31720e-02,1.00e+02,
-2.29720e-02,7.20e+01,
-2.27720e-02,6.40e+01,
-2.25720e-02,4.00e+01,
-2.23720e-02,4.00e+01,
-2.21720e-02,0.00e+00,
-2.19720e-02,-4.00e+00,
-2.17720e-02,-3.60e+01,
-2.15720e-02,-4.80e+01,
-2.13720e-02,-7.60e+01,
-2.11720e-02,-7.60e+01,
-2.09720e-02,-9.20e+01,
-2.07720e-02,-9.60e+01,
-2.05720e-02,-1.24e+02,
-2.03720e-02,-1.24e+02,
-2.01720e-02,-1.56e+02,
-1.99720e-02,-1.56e+02,
-1.97720e-02,-1.76e+02,
-1.95720e-02,-1.72e+02,
-1.93720e-02,-2.00e+02,
-1.91720e-02,-2.04e+02,
-1.89720e-02,-2.20e+02,
-1.87720e-02,-2.28e+02,
-1.85720e-02,-2.44e+02,
-1.83720e-02,-2.44e+02,
-1.81720e-02,-2.60e+02,
-1.79720e-02,-2.60e+02,
-1.77720e-02,-2.72e+02,
-1.75720e-02,-2.72e+02,
-1.73720e-02,-2.80e+02,
-1.71720e-02,-2.76e+02,
-1.69720e-02,-2.84e+02,
-1.67720e-02,-2.84e+02,
-1.65720e-02,-2.80e+02,
-1.63720e-02,-2.80e+02,
-1.61720e-02,-2.72e+02,
-1.59720e-02,-2.76e+02,
-1.57720e-02,-2.64e+02,
-1.55720e-02,-2.68e+02,
-1.53720e-02,-2.48e+02,
-1.51720e-02,-2.44e+02,
-1.49720e-02,-2.28e+02,
-1.47720e-02,-2.32e+02,
-1.45720e-02,-2.04e+02,
-1.43720e-02,-2.00e+02,
-1.41720e-02,-1.84e+02,
-1.39720e-02,-1.72e+02,
-1.37720e-02,-1.36e+02,
-1.35720e-02,-1.36e+02,
-1.33720e-02,-1.12e+02,
-1.31720e-02,-1.04e+02,
-1.29720e-02,-6.40e+01,
-1.27720e-02,-6.40e+01,
-1.25720e-02,-3.20e+01,
-1.23720e-02,-2.40e+01,
-1.21720e-02,8.00e+00,
-1.19720e-02,4.00e+00,
-1.17720e-02,4.00e+01,
-1.15720e-02,3.60e+01,
-1.13720e-02,6.40e+01,
-1.11720e-02,7.20e+01,
-1.09720e-02,1.08e+02,
-1.07720e-02,1.04e+02,
-1.05720e-02,1.28e+02,
-1.03720e-02,1.28e+02,
-1.01720e-02,1.48e+02,
-9.97200e-03,1.52e+02,
-9.77200e-03,1.72e+02,
-9.57200e-03,1.80e+02,
-9.37200e-03,1.96e+02,
-9.17200e-03,1.96e+02,
-8.97200e-03,2.20e+02,
-8.77200e-03,2.24e+02,
-8.57200e-03,2.40e+02,
-8.37200e-03,2.40e+02,
-8.17200e-03,2.56e+02,
-7.97200e-03,2.56e+02,
-7.77200e-03,2.68e+02,
-7.57200e-03,2.64e+02,
-7.37200e-03,2.80e+02,
-7.17200e-03,2.76e+02,
-6.97200e-03,2.84e+02,
-6.77200e-03,2.72e+02,
-6.57200e-03,2.84e+02,
-6.37200e-03,2.80e+02,
-6.17200e-03,2.72e+02,
-5.97200e-03,2.76e+02,
-5.77200e-03,2.60e+02,
-5.57200e-03,2.60e+02,
-5.37200e-03,2.48e+02,
-5.17200e-03,2.48e+02,
-4.97200e-03,2.28e+02,
-4.77200e-03,2.24e+02,
-4.57200e-03,2.08e+02,
-4.37200e-03,2.04e+02,
